Nat	CS	Na	L	Corr	Target	Diff
45	10	2	8.979324	0.422222	0.360000	0.062222
45	10	2	9.131213	0.355556	0.360000	-0.004444
45	10	2	9.525953	0.422222	0.360000	0.062222
45	10	2	9.541470	0.288889	0.360000	-0.071111
60	4	2	3.180490	0.333333	0.360000	-0.026667
60	4	2	3.545480	0.400000	0.360000	0.040000
60	5	2	3.180490	0.333333	0.360000	-0.026667
60	5	2	3.545480	0.400000	0.360000	0.040000
60	5	2	4.762976	0.366667	0.360000	0.006667
60	6	2	3.180490	0.333333	0.360000	-0.026667
60	6	2	3.545480	0.400000	0.360000	0.040000
60	6	2	4.762976	0.366667	0.360000	0.006667
60	6	2	5.508770	0.333333	0.360000	-0.026667
60	7	2	3.180490	0.333333	0.360000	-0.026667
60	7	2	3.545480	0.400000	0.360000	0.040000
60	7	2	4.762976	0.366667	0.360000	0.006667
60	7	2	5.508770	0.333333	0.360000	-0.026667
60	7	2	6.360980	0.333333	0.360000	-0.026667
60	7	2	6.551105	0.366667	0.360000	0.006667
60	8	2	3.180490	0.333333	0.360000	-0.026667
60	8	2	3.545480	0.400000	0.360000	0.040000
60	8	2	4.762976	0.433333	0.360000	0.073333
60	8	2	5.508770	0.333333	0.360000	-0.026667
60	8	2	6.360980	0.333333	0.360000	-0.026667
60	8	2	6.551105	0.333333	0.360000	-0.026667
60	8	2	7.090960	0.400000	0.360000	0.040000
60	8	2	7.282341	0.366667	0.360000	0.006667
60	8	2	7.771566	0.366667	0.360000	0.006667
60	9	2	3.180490	0.333333	0.360000	-0.026667
60	9	2	3.545480	0.400000	0.360000	0.040000
60	9	2	4.762976	0.433333	0.360000	0.073333
60	9	2	5.508770	0.333333	0.360000	-0.026667
60	9	2	6.360980	0.333333	0.360000	-0.026667
60	9	2	6.551105	0.333333	0.360000	-0.026667
60	9	2	7.090960	0.400000	0.360000	0.040000
60	9	2	7.282341	0.366667	0.360000	0.006667
60	9	2	7.771566	0.366667	0.360000	0.006667
60	9	2	8.414786	0.333333	0.360000	-0.026667
60	9	2	8.979324	0.433333	0.360000	0.073333
60	10	2	3.180490	0.333333	0.360000	-0.026667
60	10	2	3.545480	0.400000	0.360000	0.040000
60	10	2	4.762976	0.433333	0.360000	0.073333
60	10	2	5.508770	0.333333	0.360000	-0.026667
60	10	2	6.360980	0.333333	0.360000	-0.026667
60	10	2	6.551105	0.333333	0.360000	-0.026667
60	10	2	7.090960	0.400000	0.360000	0.040000
60	10	2	7.282341	0.366667	0.360000	0.006667
60	10	2	7.771566	0.366667	0.360000	0.006667
60	10	2	8.414786	0.333333	0.360000	-0.026667
60	10	2	8.979324	0.433333	0.360000	0.073333
60	10	2	9.131213	0.350000	0.360000	-0.010000
60	10	2	9.525953	0.366667	0.360000	0.006667
60	10	2	9.541470	0.333333	0.360000	-0.026667
75	4	2	3.180490	0.360000	0.360000	-0.000000
75	4	2	3.545480	0.360000	0.360000	-0.000000
75	5	2	3.180490	0.360000	0.360000	-0.000000
75	5	2	3.545480	0.360000	0.360000	-0.000000
75	5	2	4.762976	0.360000	0.360000	-0.000000
75	6	2	3.180490	0.360000	0.360000	-0.000000
75	6	2	3.545480	0.360000	0.360000	-0.000000
75	6	2	4.762976	0.360000	0.360000	-0.000000
75	6	2	5.508770	0.360000	0.360000	-0.000000
75	7	2	3.180490	0.360000	0.360000	-0.000000
75	7	2	3.545480	0.360000	0.360000	-0.000000
75	7	2	4.762976	0.360000	0.360000	-0.000000
75	7	2	5.508770	0.360000	0.360000	-0.000000
75	7	2	6.360980	0.360000	0.360000	-0.000000
75	7	2	6.551105	0.333333	0.360000	-0.026667
75	8	2	3.180490	0.360000	0.360000	-0.000000
75	8	2	3.545480	0.360000	0.360000	-0.000000
75	8	2	4.762976	0.360000	0.360000	-0.000000
75	8	2	5.508770	0.360000	0.360000	-0.000000
75	8	2	6.360980	0.360000	0.360000	-0.000000
75	8	2	6.551105	0.440000	0.360000	0.080000
75	8	2	7.090960	0.360000	0.360000	-0.000000
75	8	2	7.282341	0.333333	0.360000	-0.026667
75	8	2	7.771566	0.360000	0.360000	-0.000000
75	9	2	3.180490	0.360000	0.360000	-0.000000
75	9	2	3.545480	0.360000	0.360000	-0.000000
75	9	2	4.762976	0.360000	0.360000	-0.000000
75	9	2	5.508770	0.360000	0.360000	-0.000000
75	9	2	6.360980	0.360000	0.360000	-0.000000
75	9	2	6.551105	0.413333	0.360000	0.053333
75	9	2	7.090960	0.360000	0.360000	-0.000000
75	9	2	7.282341	0.306667	0.360000	-0.053333
75	9	2	7.771566	0.306667	0.360000	-0.053333
75	9	2	8.414786	0.360000	0.360000	-0.000000
75	9	2	8.979324	0.333333	0.360000	-0.026667
75	10	2	3.180490	0.360000	0.360000	-0.000000
75	10	2	3.545480	0.360000	0.360000	-0.000000
75	10	2	4.762976	0.360000	0.360000	-0.000000
75	10	2	5.508770	0.360000	0.360000	-0.000000
75	10	2	6.360980	0.360000	0.360000	-0.000000
75	10	2	6.551105	0.333333	0.360000	-0.026667
75	10	2	7.090960	0.360000	0.360000	-0.000000
75	10	2	7.282341	0.440000	0.360000	0.080000
75	10	2	7.771566	0.333333	0.360000	-0.026667
75	10	2	8.414786	0.306667	0.360000	-0.053333
75	10	2	8.979324	0.386667	0.360000	0.026667
75	10	2	9.131213	0.373333	0.360000	0.013333
75	10	2	9.525953	0.333333	0.360000	-0.026667
75	10	2	9.541470	0.306667	0.360000	-0.053333
90	4	2	3.180490	0.377778	0.360000	0.017778
90	4	2	3.545480	0.333333	0.360000	-0.026667
90	5	2	3.180490	0.377778	0.360000	0.017778
90	5	2	3.545480	0.333333	0.360000	-0.026667
90	5	2	4.762976	0.355556	0.360000	-0.004444
90	6	2	3.180490	0.377778	0.360000	0.017778
90	6	2	3.545480	0.333333	0.360000	-0.026667
90	6	2	4.762976	0.355556	0.360000	-0.004444
90	6	2	5.508770	0.377778	0.360000	0.017778
90	7	2	3.180490	0.377778	0.360000	0.017778
90	7	2	3.545480	0.333333	0.360000	-0.026667
90	7	2	4.762976	0.355556	0.360000	-0.004444
90	7	2	5.508770	0.377778	0.360000	0.017778
90	7	2	6.360980	0.377778	0.360000	0.017778
90	7	2	6.551105	0.355556	0.360000	-0.004444
90	8	2	3.180490	0.377778	0.360000	0.017778
90	8	2	3.545480	0.333333	0.360000	-0.026667
90	8	2	4.762976	0.333333	0.360000	-0.026667
90	8	2	5.508770	0.333333	0.360000	-0.026667
90	8	2	6.360980	0.333333	0.360000	-0.026667
90	8	2	6.551105	0.355556	0.360000	-0.004444
90	8	2	7.090960	0.333333	0.360000	-0.026667
90	8	2	7.282341	0.355556	0.360000	-0.004444
90	8	2	7.771566	0.355556	0.360000	-0.004444
90	9	2	3.180490	0.333333	0.360000	-0.026667
90	9	2	3.545480	0.333333	0.360000	-0.026667
90	9	2	4.762976	0.355556	0.360000	-0.004444
90	9	2	5.508770	0.333333	0.360000	-0.026667
90	9	2	6.360980	0.333333	0.360000	-0.026667
90	9	2	6.551105	0.355556	0.360000	-0.004444
90	9	2	7.090960	0.333333	0.360000	-0.026667
90	9	2	7.282341	0.333333	0.360000	-0.026667
90	9	2	7.771566	0.355556	0.360000	-0.004444
90	9	2	8.414786	0.355556	0.360000	-0.004444
90	9	2	8.979324	0.355556	0.360000	-0.004444
90	10	2	3.180490	0.377778	0.360000	0.017778
90	10	2	3.545480	0.333333	0.360000	-0.026667
90	10	2	4.762976	0.355556	0.360000	-0.004444
90	10	2	5.508770	0.377778	0.360000	0.017778
90	10	2	6.360980	0.288889	0.360000	-0.071111
90	10	2	6.551105	0.355556	0.360000	-0.004444
90	10	2	7.090960	0.333333	0.360000	-0.026667
90	10	2	7.282341	0.377778	0.360000	0.017778
90	10	2	7.771566	0.355556	0.360000	-0.004444
90	10	2	8.414786	0.333333	0.360000	-0.026667
90	10	2	8.979324	0.355556	0.360000	-0.004444
90	10	2	9.131213	0.355556	0.360000	-0.004444
90	10	2	9.525953	0.377778	0.360000	0.017778
90	10	2	9.541470	0.377778	0.360000	0.017778
